start,end,text
0.0,2.0,あ
6.0,8.0,声聞こえてますか?
12.0,14.0,どうも
16.0,18.0,よろしくお願いしまーす
26.0,28.0,いやー
28.0,30.0,今日ぐらいはちょっと長会議に話させてくださいよ
32.0,34.0,あのねー
34.0,36.0,もう何がねー
38.0,40.0,もう一言に尽きるんだけど
42.0,44.0,なんちゅうのかな見渡す限りさ
44.0,46.0,男性
46.0,48.0,あ弁当は捨てた
48.0,50.0,見渡す限り
50.0,52.0,男性ばっかりで
52.0,54.0,もうあれはねー
54.0,56.0,天下の大将軍の気分だったね
56.0,58.0,マジで
58.0,60.0,途中で俺感動しちゃって涙出たの
60.0,62.0,ほんとに
62.0,64.0,いやあれね
64.0,66.0,天下の大将軍の気分だよ
66.0,68.0,マジで
68.0,70.0,女の子からギャーってやれんのもさ
70.0,72.0,楽しいだろうけど
72.0,74.0,あれはねー天下の大将軍の
74.0,76.0,気分だったね
76.0,78.0,マジで
78.0,80.0,いやマジでマジで
80.0,82.0,あんな
82.0,84.0,気分は
84.0,86.0,なかったねー
86.0,88.0,マジで
88.0,90.0,めっちゃ気分が良かったわ
90.0,92.0,将軍の
92.0,94.0,あの大きな声が聞こえた
94.0,96.0,ヒョヒョヒョヒョ
96.0,98.0,楽しかったわ
98.0,100.0,何が良かったってさ
100.0,102.0,別に内容なんてどうでもいいんだ正直
102.0,104.0,やっぱ
104.0,106.0,コメントをさ
106.0,108.0,頼むからもう
108.0,110.0,NG入れないでくれ
110.0,112.0,もうこの普通の
112.0,114.0,やっぱデビューは一緒に飾りたいじゃん
114.0,116.0,加藤純一
116.0,118.0,一人で出ても面白くないじゃん
118.0,120.0,あのさコメントをさ
120.0,122.0,やりたようで別にさ悪口かけて
122.0,124.0,言ってるわけじゃなくて
124.0,126.0,あのノリをさ
126.0,128.0,ねー
128.0,130.0,やっぱ出せたっていうのはもう最高に
130.0,132.0,気分が良かったね
132.0,134.0,泥だらけにして最後帰ってくるみたいな
134.0,136.0,いやあれはほんとに
136.0,138.0,気分良かったわ
138.0,140.0,うーん
140.0,142.0,最低のコメントだっただろいい意味で
144.0,146.0,あれは良かったね
146.0,148.0,内容は正直
148.0,150.0,別につまんねえって言われるのは
150.0,152.0,俺だからどうでも良かったんだけど
152.0,154.0,あれは気分良かったな
154.0,156.0,ゲロと猛攻には感謝しかないね
156.0,158.0,あれマジで当日捕まえたからね
158.0,160.0,ちょっと頼む出てくれって
160.0,162.0,いやもう二人には感謝ですよ
162.0,164.0,運命どんなハンドだった
164.0,166.0,苦笑したけど俺はもう
166.0,168.0,笑顔でありがとうございましたー
168.0,170.0,帰ってきたやん
170.0,172.0,どうもー
174.0,176.0,やっぱデビューはこういう感じで
176.0,178.0,全然そんなの知らねえ
178.0,180.0,俺出したらこうなるだろ
180.0,182.0,全然そんなの知らねえ
182.0,184.0,俺考えることないでしょ
184.0,186.0,いやでもすっげー楽しかった
186.0,188.0,あんな気絶しそうになっちゃった
188.0,190.0,うーん
190.0,192.0,ほんとに気絶しそうになっちゃった
192.0,194.0,楽しかったね
194.0,196.0,めっちゃ
196.0,198.0,楽しかったよ
198.0,200.0,いや暑かったんだよね緊張しなかったんだよほんと
200.0,202.0,いつもみたいな感じだったから
202.0,204.0,暑かったんだよね
204.0,206.0,ゲロちゃん喋り上手いでしょ
206.0,208.0,上手だったよね
214.0,216.0,いやでもまあまあまあそれはいいんですよ
216.0,218.0,明日までちょっと夢見て
218.0,220.0,明後日からまた一気に舵取って通常上に戻しましょう
220.0,222.0,いやなんか今まで頑張ってきてよかった
222.0,224.0,マジでほんと気分良かったー
224.0,226.0,でもまだ足んねえな
226.0,228.0,もっとなんか来てほしいな
228.0,230.0,あの10倍いたら俺もっと楽しいだろうな
230.0,232.0,っていうね
232.0,234.0,まだ全然なんか
234.0,236.0,人間って欲がなんかとんでもないんだよね多分ね
236.0,238.0,うーん
238.0,240.0,もっともっとやっぱ人集めたいなっていう
242.0,244.0,いいじゃんそれは
244.0,246.0,しかも終わった後速攻
246.0,248.0,東二郎監督に電話して
248.0,250.0,飯食って帰ってきたわ
250.0,252.0,病で出て会場を
252.0,254.0,無事に後にして
254.0,256.0,何更新って
256.0,258.0,監督にうまい飯
258.0,260.0,ねえキャーキャー言われて
260.0,262.0,ドグマにそっこいって
264.0,266.0,うん
266.0,268.0,最高だったね
268.0,270.0,最高だったよ
272.0,274.0,何食った焼き肉を
274.0,276.0,食わせてもらいました
276.0,278.0,ドグマに魂まで食べた
278.0,280.0,いいじゃん別に飯食うぐらい
280.0,282.0,なんで
282.0,284.0,飯食うまであれしなきゃいけないの
286.0,288.0,いやもう最高の一日だったよ
288.0,290.0,ジョジョインはまあ
290.0,292.0,あんまり聞かないでください嘘つけないんで俺は
292.0,294.0,猫さん探したんだけどね
294.0,296.0,いなかったわ
296.0,298.0,一言挨拶したかったんだけどね
298.0,300.0,一言挨拶したいなって
300.0,302.0,東二郎がいいよあいつ仮面成人だし
304.0,306.0,似てる
306.0,308.0,いやでも楽しかったありがとうございました本当
308.0,310.0,皆さんのおかげで
310.0,312.0,いやでもねよく出れたよな
312.0,314.0,ほんとこんなクソみてぇなさ
314.0,316.0,こんなやつら出したらだめでしょ
316.0,318.0,ほんと
318.0,320.0,めっちゃ困ってたからね
320.0,322.0,あぶし寝るときとか俺さスタッフの方
322.0,324.0,ずっと見てたけどめちゃめちゃ困ってたからね
324.0,326.0,クソざわみろと思いながら俺見てたけど
326.0,328.0,おめえらがいけねえんだからな
328.0,330.0,つって俺は知らねえよって
330.0,332.0,俺は知らねえから
332.0,334.0,俺別にユーザー放送やりにきてるから
334.0,336.0,っていう
336.0,338.0,あの時もう感動しちゃってさ
338.0,340.0,あ出れるんだ俺たちだよ
340.0,342.0,あれだってね
342.0,344.0,ステージしか見てないかもしんないけど
344.0,346.0,あれめちゃめちゃでかいステージで
346.0,348.0,通路入ってすぐのすっげえでけえとこにやってたのね
348.0,350.0,それであんなでけえモニターにさ
350.0,352.0,あんなぐしゃぐしゃなコメント
352.0,354.0,ドロン塗りまくってさ
354.0,356.0,もう俺はもう
356.0,358.0,世は満足じゃんって感じで見てたよ
358.0,360.0,俺はもうこれで満足だ
360.0,362.0,俺もうしゃべることねえよ
362.0,364.0,もうこれだよ俺は
364.0,366.0,あれはマジで気分よかったわ
366.0,368.0,あれはマジで気分よかったね
368.0,370.0,やりたいことやらせてくれたね
370.0,372.0,ドワンゴに感謝だなほんとにね
372.0,374.0,アンダーバードはクソおだれしたからね
374.0,376.0,最後の
376.0,378.0,うーん
378.0,380.0,いやでもゲロちゃんとボコに
380.0,382.0,ほんと感謝だね
382.0,384.0,いやマジあの二人に助けられたわ
384.0,386.0,一応自分一人で話すとき用の
386.0,388.0,なんかあれ話も考えてたんだけど
388.0,390.0,やっぱりなんかねえ
390.0,392.0,あのー
392.0,394.0,感じがねえ
394.0,396.0,やっぱ出るわけじゃない
396.0,398.0,ほんとにほんとに
398.0,400.0,うん
400.0,402.0,モコはもう無理やり俺が出したからね
402.0,404.0,あいつがなんかいたからモコちょっと出てよーつって
404.0,406.0,いやでもちょっと恐縮ですよみたいなこと
406.0,408.0,言ったんで俺紹介するからつって
410.0,412.0,めっちゃよかったわほんとに
412.0,414.0,クソ楽しかった
414.0,416.0,あのお金払ってても出たよ俺
416.0,418.0,モコはほんと出さないでくれ
418.0,420.0,ほんとだよな迷惑だよな
420.0,422.0,あいつそういう迷惑考えねえから
424.0,426.0,うん
426.0,428.0,あいつ迷惑なんだよな
430.0,432.0,いやでもゲロちゃんよく出てくれたわ
432.0,434.0,ほんとありがとね
434.0,436.0,一緒にできてほんと光栄でしたわ
436.0,438.0,アマグリはほんとに秒で捨てたわ
438.0,440.0,これ食べれねえつって
440.0,442.0,お前の目標なんなの
442.0,444.0,やっぱ人増やしたいでしょ
444.0,446.0,こんなの味わっちゃったらさ
446.0,448.0,やっぱ一生懸命
448.0,450.0,目標できるよね
452.0,454.0,めっちゃ面白かったよ
454.0,456.0,でも俺あんま調子乗らないからさ
456.0,458.0,俺オロチドッポだから
458.0,460.0,いやこれはこれにアグラ書いちゃだめだな
460.0,462.0,と思ったね
462.0,464.0,これは非日常だ
464.0,466.0,俺はゴミのコメントの山で
466.0,468.0,自分を磨かなきゃいけない
468.0,470.0,と思ったね
470.0,472.0,やっぱ認知させていかなきゃいけないから
472.0,474.0,認知させてこういう空気もあるんだよ
474.0,476.0,っていうのをね
476.0,478.0,あまり込むかもこは非常識だな
478.0,480.0,説教しといてくれ
480.0,482.0,絶対だめだよ
482.0,484.0,こんなの調子乗っちゃだめだよ
484.0,486.0,あんなの
486.0,488.0,自分の実力以上の集客が
488.0,490.0,見込まれるわけじゃん
490.0,492.0,いやでもたまにはすごい
492.0,494.0,自分へのご褒美というか
494.0,496.0,最高だったよ
496.0,498.0,もう最高だった
498.0,500.0,今年46なのにニキビできた
500.0,502.0,お前46で俺のソン見てるとかやべえな
502.0,504.0,将来
504.0,506.0,真っ暗にも
506.0,508.0,程があるよね
510.0,512.0,将来真っ暗にも
512.0,514.0,程があるだろうクソジジイ
514.0,516.0,もうすぐ死ぬんだぞあと30年もすれば
518.0,520.0,30年もすればお前死ぬんだぞ
522.0,524.0,いやでも楽しかった
524.0,526.0,ありがとうございました
526.0,528.0,明日まで夢見させてよ
528.0,530.0,明日まで夢見させて
530.0,532.0,明後日から通常放送に戻ろうよ
532.0,534.0,もうちょっと
534.0,536.0,あと1日だけ夢見させて
536.0,538.0,本当に
538.0,540.0,明日だけ夢見させて
540.0,542.0,でちょっとキャーキャー言われて
542.0,544.0,いやまた来年も
544.0,546.0,ここのステージに俺は戻ってくるんだ
546.0,548.0,っていう
550.0,552.0,いいんだよたまにはご褒美いないといけないんだよ
552.0,554.0,たまにはね
554.0,556.0,ご褒美を
556.0,558.0,お前のこと好きな女って結構いるんだよ
558.0,560.0,いるだろ1人2人はそりゃ
560.0,562.0,1人2人はいるでしょ
562.0,564.0,そんなの
566.0,568.0,相当割合良かったけどね
568.0,570.0,びっくりしたもん
570.0,572.0,本当に男の人しかいないんですね
572.0,574.0,でもやっぱ一番だよ
574.0,576.0,俺たちが一番だなと思ったねマジで
576.0,578.0,女の子をキャーキャー言われて楽しいのかな
578.0,580.0,って思っちゃうよね本当にね
580.0,582.0,そんなの大きい将軍じゃねえや
582.0,584.0,愛国だよ愛国
584.0,586.0,一般のコメント読んでくれないの
586.0,588.0,別にどこのコメントでも読みますよ
588.0,590.0,もっとテンション上げろ
590.0,592.0,いやだからね闘神大陸のほうが一番なんだよ
592.0,594.0,一生懸命やろうって空回りするから
594.0,596.0,普通にやって
596.0,598.0,普通に帰ってきました
598.0,600.0,通常放送
600.0,602.0,していいよって言われたからね
602.0,604.0,通常放送していいよ
604.0,606.0,宮古さんに会いたかったな
606.0,608.0,宮古さんに
610.0,612.0,会いたかったですね
612.0,614.0,何時からなんだろう12時ぐらいからなんじゃない
614.0,616.0,明日はツイートするわ
616.0,618.0,ツイートします
618.0,620.0,いや通常が一番なんで
620.0,622.0,結局さ何やってもさ
622.0,624.0,別にみんなでやればなんでもよかったんだよ
624.0,626.0,一発目はだってやっぱ
626.0,628.0,エモースチャンネルでしょ
628.0,630.0,緊張正直ほんとにしなかった
630.0,632.0,一発目はエモースチャンネルでしょ
632.0,634.0,やっぱり
