*,BOS/EOS
ワンダー,名詞
と,助詞
D,記号
マル,名詞
だ,助動詞
た,助動詞
っけ,助詞
?,補助記号
*,BOS/EOS
*,BOS/EOS
ニー,名詞
ヤる,動詞
て,助詞
別,名詞
だ,助動詞
もう,副詞
みんな,名詞
と,助詞
する,動詞
て,助詞
ワイン,名詞
やる,動詞
ない,助動詞
だ,助動詞
*,BOS/EOS
*,BOS/EOS
しかも,接続詞
やる,動詞
てる,助動詞
やつ,名詞
は,助詞
ネタバレ,名詞
も,助詞
クソ,名詞
も,助詞
ない,形容詞
から,助詞
言う,動詞
けど,助詞
さ,助詞
*,BOS/EOS
*,BOS/EOS
すごい,形容詞
その,連体詞
ニーヤレプリカント,名詞
って,助詞
ゲーム,名詞
が,助詞
ある,動詞
て,助詞
*,BOS/EOS
*,BOS/EOS
病気,名詞
に,助詞
なる,動詞
て,助詞
しまう,動詞
た,助動詞
妹,名詞
を,助詞
*,BOS/EOS
*,BOS/EOS
まあ,副詞
父親,名詞
バージョン,名詞
も,助詞
ある,動詞
ん,助詞
だ,助動詞
けど,助詞
*,BOS/EOS
*,BOS/EOS
俺,代名詞
は,助詞
お,接頭辞
兄,名詞
ちゃん,接尾辞
バージョン,名詞
で,助詞
やる,動詞
た,助動詞
ん,助詞
だ,助動詞
よ,助詞
*,BOS/EOS
*,BOS/EOS
その,連体詞
妹,名詞
を,助詞
抱える,動詞
ながら,助詞
いろいろ,副詞
物語,名詞
を,助詞
進める,動詞
て,助詞
いく,動詞
っつう,助動詞
ゲーム,名詞
が,助詞
ある,動詞
た,助動詞
ん,助詞
だ,助動詞
けど,助詞
*,BOS/EOS
*,BOS/EOS
で,接続詞
、,補助記号
まあ,副詞
右翼,名詞
が,助詞
切,名詞
を,助詞
経る,動詞
て,助詞
*,BOS/EOS
*,BOS/EOS
あの,感動詞
ね,助詞
その,連体詞
時,名詞
たぶん,副詞
ゴロ,名詞
ちゃん,接尾辞
と,助詞
付き合う,動詞
てる,助動詞
て,助詞
*,BOS/EOS
*,BOS/EOS
あの,感動詞
俺,代名詞
が,助詞
ニー,名詞
ヤ,名詞
やる,動詞
てる,助動詞
て,助詞
*,BOS/EOS
*,BOS/EOS
エンディング,名詞
だけ,助詞
見る,動詞
て,助詞
ゴロリ,副詞
が,助詞
泣く,動詞
てる,助動詞
た,助動詞
ん,助詞
だ,助動詞
よ,助詞
*,BOS/EOS
*,BOS/EOS
意味,名詞
わかる,動詞
ない,助動詞
くない,助動詞
?,補助記号
*,BOS/EOS
*,BOS/EOS
普通,名詞
さ,助詞
いろいろ,副詞
何,代名詞
か,助詞
ある,動詞
て,助詞
何,代名詞
か,助詞
ある,動詞
て,助詞
何,代名詞
か,助詞
ある,動詞
て,助詞
*,BOS/EOS
*,BOS/EOS
うわ,感動詞
これ,代名詞
こう,副詞
いう,動詞
こと,名詞
かー,助詞
っつう,助動詞
て,助詞
泣く,動詞
じゃん,助詞
普通,名詞
*,BOS/EOS
*,BOS/EOS
エンディング,名詞
だけ,助詞
見る,動詞
た,助動詞
だけ,助詞
で,助詞
ゴロリ,副詞
泣く,動詞
てる,助動詞
た,助動詞
ん,助詞
だ,助動詞
よ,助詞
*,BOS/EOS
*,BOS/EOS
そん,代名詞
で,助詞
あいつ,代名詞
も,助詞
やる,動詞
てる,助動詞
た,助動詞
わ,助詞
*,BOS/EOS
*,BOS/EOS
やる,動詞
てる,助動詞
た,助動詞
*,BOS/EOS
*,BOS/EOS
ただ,接続詞
移動,名詞
が,助詞
バッタ,名詞
みてえ,形状詞
だ,助動詞
から,助詞
*,BOS/EOS
*,BOS/EOS
それ,代名詞
気,名詞
を,助詞
付ける,動詞
て,助詞
くれる,動詞
*,BOS/EOS
*,BOS/EOS
これ,代名詞
から,助詞
うんこ,名詞
ちゃん,接尾辞
の,助詞
お,接頭辞
ニー,名詞
ヤ,接尾辞
面白い,形容詞
そう,形状詞
だ,助動詞
な,助詞
って,助詞
やる,動詞
やつ,名詞
は,助詞
*,BOS/EOS
*,BOS/EOS
バッタ,名詞
が,助詞
飛ぶ,動詞
でる,助動詞
みたい,形状詞
だ,助動詞
移動,名詞
方法,名詞
だ,助動詞
から,助詞
*,BOS/EOS
*,BOS/EOS
かなり,副詞
心,名詞
に,助詞
来る,動詞
ぞ,助詞
*,BOS/EOS
*,BOS/EOS
おっきい,形容詞
バッタ,名詞
だ,助動詞
と,助詞
思う,動詞
ば,助詞
いい,形容詞
*,BOS/EOS
*,BOS/EOS
あの,感動詞
ゼルダ,名詞
だ,助動詞
さ,助詞
*,BOS/EOS
*,BOS/EOS
ヤッヤッヤッヤッヤッヤッ,名詞
って,助詞
移動,名詞
する,動詞
てる,助動詞
やつ,名詞
みたい,形状詞
だ,助動詞
*,BOS/EOS
*,BOS/EOS
ちょっと,副詞
ただ,副詞
走る,動詞
だけ,助詞
だ,助動詞
と,助詞
速度,名詞
が,助詞
遅い,形容詞
から,助詞
*,BOS/EOS
*,BOS/EOS
前転,名詞
を,助詞
する,動詞
ながら,助詞
移動,名詞
する,動詞
てく,助動詞
ん,助詞
だ,助動詞
けど,助詞
*,BOS/EOS
*,BOS/EOS
前転,名詞
中,接尾辞
に,助詞
横,名詞
移動,名詞
できる,動詞
から,助詞
バッタ,名詞
みてえ,形状詞
だ,助動詞
*,BOS/EOS
*,BOS/EOS
殿,名詞
様,接尾辞
バッタ,名詞
みたい,形状詞
だ,助動詞
*,BOS/EOS
*,BOS/EOS
ローリング,名詞
移動,名詞
する,動詞
て,助詞
いく,動詞
と,助詞
それ,代名詞
だけ,助詞
で,助詞
強,名詞
が,助詞
そぐ,動詞
れる,助動詞
から,助詞
*,BOS/EOS
*,BOS/EOS
これ,代名詞
人間,名詞
だ,助動詞
ない,形容詞
じゃん,助詞
って,助詞
*,BOS/EOS
*,BOS/EOS
で,接続詞
前,名詞
クリ,名詞
する,動詞
と,助詞
セーブ,名詞
データ,名詞
が,助詞
消える,動詞
て,助詞
*,BOS/EOS
*,BOS/EOS
ニー,名詞
ヤ,接尾辞
って,助詞
いう,動詞
名前,名詞
は,助詞
使える,動詞
ない,助動詞
なる,動詞
から,助詞
*,BOS/EOS
*,BOS/EOS
もう,副詞
それ,代名詞
まで,助詞
全部,名詞
ネタバレ,名詞
する,動詞
ちゃう,助動詞
から,助詞
*,BOS/EOS
*,BOS/EOS
それ,代名詞
が,助詞
もう,副詞
物語,名詞
の,助詞
肝,名詞
だ,助動詞
から,助詞
やる,動詞
ない,助動詞
て,助詞
いい,形容詞
ぞ,助詞
お前,代名詞
ら,接尾辞
*,BOS/EOS
*,BOS/EOS
えー,感動詞
使える,動詞
ない,助動詞
その,連体詞
名前,名詞
は,助詞
使える,動詞
ない,助動詞
みたい,形状詞
だ,助動詞
こと,名詞
言う,動詞
れる,助動詞
ん,助詞
だ,助動詞
よ,助詞
*,BOS/EOS
*,BOS/EOS
理由,名詞
は,助詞
言う,動詞
たい,助動詞
ない,形容詞
*,BOS/EOS
*,BOS/EOS
なぜ,副詞
か,助詞
みんな,名詞
が,助詞
*,BOS/EOS
*,BOS/EOS
なぜ,副詞
か,助詞
みんな,名詞
が,助詞
突き止める,動詞
て,助詞
くれる,動詞
*,BOS/EOS
*,BOS/EOS
面白い,形容詞
ん,助詞
だ,助動詞
よ,助詞
すごい,形容詞
*,BOS/EOS
*,BOS/EOS
オートマタバッタ,名詞
直る,動詞
てる,助動詞
ん,助詞
だ,助動詞
*,BOS/EOS
*,BOS/EOS
へー,感動詞
バッタ,名詞
直る,動詞
ちまう,助動詞
た,助動詞
俺,代名詞
の,助詞
中,名詞
で,助詞
ニー,名詞
ヤ,接尾辞
だ,助動詞
ない,形容詞
ん,助詞
だ,助動詞
よ,助詞
な,助詞
*,BOS/EOS
*,BOS/EOS
もっと,副詞
いい,形容詞
ネタバレ,名詞
ある,動詞
だ,助動詞
*,BOS/EOS
*,BOS/EOS
最初,名詞
に,助詞
出る,動詞
て,助詞
くる,動詞
二人,名詞
の,助詞
姉妹,名詞
は,助詞
ラスボス,名詞
だ,助動詞
から,助詞
気,名詞
を,助詞
つける,動詞
*,BOS/EOS
*,BOS/EOS
ぐらい,助詞
か,助詞
な,助詞
ニー,名詞
ヤ,接尾辞
の,助詞
ネタバレ,名詞
*,BOS/EOS
*,BOS/EOS
それ,代名詞
が,助詞
いい,形容詞
ん,助詞
だ,助動詞
よ,助詞
その,連体詞
な,助詞
ネタバレ,名詞
を,助詞
知る,動詞
た,助動詞
上,名詞
で,助詞
やる,動詞
て,助詞
みる,動詞
て,助詞
くれる,動詞
逆,名詞
だ,助動詞
*,BOS/EOS
*,BOS/EOS
何,名詞
年,名詞
前,名詞
の,助詞
ゲーム,名詞
いい,形容詞
や,助動詞
ない,形容詞
か,助詞
よ,助詞
別,名詞
だ,助動詞
*,BOS/EOS
*,BOS/EOS
何,名詞
