*,BOS/EOS
あ,感動詞
!,補助記号
あ,感動詞
!,補助記号
あ,感動詞
!,補助記号
*,BOS/EOS
*,BOS/EOS
よっし,感動詞
よっし,感動詞
*,BOS/EOS
*,BOS/EOS
ああー,感動詞
*,BOS/EOS
*,BOS/EOS
あぁ,感動詞
あぁ,感動詞
あぁ,感動詞
あぁ,感動詞
あぁ,感動詞
あぁ,感動詞
*,BOS/EOS
*,BOS/EOS
あぁ,感動詞
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
あぁ,感動詞
あぁ,感動詞
ぁ,補助記号
あぁ,感動詞
!,補助記号
*,BOS/EOS
*,BOS/EOS
聞こえる,動詞
?,補助記号
*,BOS/EOS
*,BOS/EOS
あぁ,感動詞
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
ぁ,補助記号
*,BOS/EOS
*,BOS/EOS
どぉ,副詞
っ,補助記号
っ,補助記号
!,補助記号
?,補助記号
*,BOS/EOS
*,BOS/EOS
よっし,感動詞
よっし,感動詞
*,BOS/EOS
*,BOS/EOS
まあ,副詞
ない,形容詞
*,BOS/EOS
*,BOS/EOS
えー,感動詞
*,BOS/EOS
*,BOS/EOS
今日,名詞
も,助詞
*,BOS/EOS
*,BOS/EOS
えー,感動詞
*,BOS/EOS
*,BOS/EOS
うんこ,名詞
ちゃん,接尾辞
が,助詞
ね,助詞
*,BOS/EOS
*,BOS/EOS
雑談,名詞
を,助詞
する,動詞
て,助詞
いく,動詞
か,助詞
な,助詞
と,助詞
*,BOS/EOS
*,BOS/EOS
抜く,動詞
て,助詞
いる,動詞
た,助動詞
の,助詞
に,助詞
*,BOS/EOS
*,BOS/EOS
私,代名詞
も,助詞
ちょうど,副詞
ね,助詞
*,BOS/EOS
*,BOS/EOS
今,名詞
友人,名詞
が,助詞
先程,名詞
帰る,動詞
ます,助動詞
て,助詞
*,BOS/EOS
*,BOS/EOS
そう,副詞
ね,助詞
*,BOS/EOS
*,BOS/EOS
男,名詞
の,助詞
情事,名詞
を,助詞
すます,動詞
て,助詞
ね,助詞
*,BOS/EOS
*,BOS/EOS
もう,副詞
やる,動詞
こと,名詞
は,助詞
一,名詞
つ,接尾辞
しか,助詞
ない,形容詞
だ,助動詞
と,助詞
*,BOS/EOS
*,BOS/EOS
今日,名詞
俺,代名詞
に,助詞
やり残す,動詞
た,助動詞
こと,名詞
は,助詞
*,BOS/EOS
*,BOS/EOS
一,名詞
つ,接尾辞
しか,助詞
ない,形容詞
だ,助動詞
と,助詞
*,BOS/EOS
*,BOS/EOS
そう,副詞
思う,動詞
ます,助動詞
て,助詞
この,連体詞
枠,名詞
を,助詞
取る,動詞
せる,助動詞
て,助詞
いただく,動詞
ます,助動詞
た,助動詞
よろしく,副詞
お,接頭辞
願う,動詞
する,動詞
ます,助動詞
*,BOS/EOS
*,BOS/EOS
まあ,副詞
ね,助詞
色々,副詞
ある,動詞
ます,助動詞
よ,助詞
ねぇ,助詞
*,BOS/EOS
*,BOS/EOS
まあ,副詞
ね,助詞
そう,副詞
そう,副詞
そう,副詞
日にち,名詞
変わる,動詞
た,助動詞
会議,名詞
あっはっは,感動詞
*,BOS/EOS
*,BOS/EOS
ほんと,名詞
だ,助動詞
よ,助詞
*,BOS/EOS
*,BOS/EOS
ほんと,名詞
です,助動詞
よ,助詞
あれ,代名詞
*,BOS/EOS
*,BOS/EOS
ほんと,名詞
さぁ,助詞
日曜,名詞
日,名詞
の,助詞
昼間,名詞
に,助詞
何,代名詞
する,動詞
てる,助動詞
ん,助詞
だ,助動詞
もう,副詞
そっくり,副詞
その,連体詞
まま,名詞
オウム,名詞
返し,名詞
を,助詞
する,動詞
せる,助動詞
て,助詞
いただく,動詞
ます,助動詞
*,BOS/EOS
*,BOS/EOS
ものすごい,形容詞
速い,形容詞
さ,接尾辞
で,助詞
入る,動詞
て,助詞
くる,動詞
た,助動詞
だ,助動詞
お前,代名詞
一番,副詞
最初,名詞
に,助詞
イヤー,名詞
って,助詞
言う,動詞
た,助動詞
だ,助動詞
おそらく,副詞
*,BOS/EOS
*,BOS/EOS
ゲーム,名詞
配信,名詞
は,助詞
もう,副詞
やる,動詞
ない,助動詞
の,助詞
か,助詞
ね,助詞
まあ,副詞
それ,代名詞
に,助詞
つく,動詞
て,助詞
も,助詞
ね,助詞
業務,名詞
連絡,名詞
の,助詞
枠,名詞
