*,BOS/EOS
あれ,代名詞
する,動詞
わ,助詞
*,BOS/EOS
*,BOS/EOS
あのー,感動詞
*,BOS/EOS
*,BOS/EOS
ミラー,名詞
に,助詞
逃げる,動詞
わ,助詞
*,BOS/EOS
*,BOS/EOS
ゴミ,名詞
ミラー,名詞
に,助詞
*,BOS/EOS
*,BOS/EOS
ちょっと,副詞
なん,代名詞
か,助詞
軌道,名詞
が,助詞
さ,助詞
*,BOS/EOS
*,BOS/EOS
始動,名詞
が,助詞
遅い,形容詞
ない,形容詞
か,助詞
うち,名詞
の,助詞
公式,名詞
ミラー,名詞
*,BOS/EOS
*,BOS/EOS
丸,名詞
は,助詞
に,助詞
いる,動詞
ない,助動詞
た,助動詞
大変,形状詞
だ,助動詞
た,助動詞
ぞ,助詞
*,BOS/EOS
*,BOS/EOS
丸,名詞
は,助詞
に,助詞
*,BOS/EOS
*,BOS/EOS
見る,動詞
ない,助動詞
た,助動詞
大変,形状詞
だ,助動詞
た,助動詞
ぜ,助詞
*,BOS/EOS
*,BOS/EOS
ありがと,感動詞
ね,助詞
リス,名詞
ちゃん,接尾辞
*,BOS/EOS
*,BOS/EOS
動画,名詞
で,助詞
流れ,名詞
変える,動詞
いや,感動詞
*,BOS/EOS
*,BOS/EOS
動画,名詞
で,助詞
流れる,動詞
変える,動詞
られる,助動詞
ない,助動詞
*,BOS/EOS
*,BOS/EOS
余計,副詞
流れ,名詞
が,助詞
悪い,形容詞
なる,動詞
だけ,助詞
だ,助動詞
*,BOS/EOS
*,BOS/EOS
動画,名詞
じゃ,助詞
流れ,名詞
は,助詞
変える,動詞
られる,助動詞
ない,助動詞
*,BOS/EOS
*,BOS/EOS
しゃべくり,名詞
で,助詞
変える,動詞
ない,助動詞
と,助詞
空気,名詞
を,助詞
*,BOS/EOS
*,BOS/EOS
公式,名詞
ミラー,名詞
の,助詞
やつ,名詞
ある,動詞
て,助詞
*,BOS/EOS
*,BOS/EOS
公式,名詞
ミラー,名詞
の,助詞
*,BOS/EOS
*,BOS/EOS
いや,感動詞
で,助詞
も,助詞
助かる,動詞
じゃん,助詞
*,BOS/EOS
*,BOS/EOS
丸,名詞
は,助詞
に,助詞
さ,助詞
俺,代名詞
4,名詞
8,名詞
時間,名詞
*,BOS/EOS
*,BOS/EOS
なん,代名詞
だ,助動詞
っけ,助詞
*,BOS/EOS
*,BOS/EOS
放送,名詞
する,動詞
ん,助詞
